0,"[[1, 5633, 1428, 244, 5756, 1011, 4068, 3010, 1667, 3009, 333, 494, 4149, 1840, 3857, 3971, 4958, 5042, 2453, 1132, 1722, 1724, 1780, 2075, 2496, 2751, 3082, 4070, 4056, 4419, 5016, 4074, 4951, 5889, 5890, 234, 235, 237, 2675, 3492, 5880, 4202, 245, 4993, 2975, 1134, 5833, 5747, 1491, 2958, 29, 5635, 5885, 5029, 1312, 3840, 1097, 1946, 686, 3229, 4902, 1480, 4242, 161, 3285, 1501, 4550, 3346, 3354, 3367, 2933, 4979, 613, 1869, 1696, 1484, 1549, 3490, 5875, 5613, 725, 5677, 5708, 2423, 4376, 5673, 2087, 2318, 3835, 4198, 683, 1473, 2089, 2578, 2621, 3468, 3483, 4271, 4778, 5226, 5290, 5428, 1383, 2752, 3852, 3499, 4333, 1403, 2971, 5547, 1575, 1009, 5536, 519, 3518, 3795, 3910, 5464, 5792, 2220, 862, 90, 937, 1537, 4312, 4538, 2610, 1718, 5109, 2110, 731, 2168, 5736, 3813, 3814, 766, 2437, 4883, 5375, 2632, 3196, 432, 3271, 864, 4388, 5672, 3481, 1787, 50, 1801, 574, 278, 279, 2482, 2429, 419, 602, 635, 375, 597, 1024, 1898, 1982, 2293, 2831, 3566, 3667, 5001, 2234, 3524, 4287, 991, 1329, 897, 532, 185, 592, 190, 1970, 3817, 4888, 5595, 1499, 3820, 267, 667, 829, 1193, 1328, 1912, 2165, 4117, 5230, 1468, 397, 990, 1203, 1563, 2375, 3135, 3199, 3561, 3756, 3733, 3235, 2503, 2304, 2691, 3754, 3075, 2866, 4024, 4792, 4862, 4368, 2379, 1304, 1288, 1050, 870, 1298, 1056, 3928, 4592, 1384, 4537, 5199, 2378, 2974, 5543, 1293, 2189, 3657, 1745, 4769, 1800, 3358, 2363, 3890, 5228, 1441, 1533, 5693, 3060, 4367, 1090, 5922, 3730, 4065, 4145, 2540, 2903, 719, 4047, 5858, 5662, 792, 3107, 3323, 4107, 74, 291, 505, 641, 2494, 3022, 4132, 4600, 4604, 5097, 200, 5443, 2977, 1626, 3602, 4668, 431, 1630, 3099, 3617, 4029, 4510, 3824, 4921, 357, 924, 1183, 1806, 1987, 2243, 2625, 4031, 4925, 4930, 2801, 5469, 1182, 5791, 3745, 5856, 4027, 4044, 4140, 587, 811, 2267, 3919, 4026, 4724, 1314, 1833, 2772, 2865, 3736, 4246, 4601, 4602, 189, 1021, 1551, 1671, 2033, 2737, 2786, 3236, 3355, 3414, 3417, 3442, 3746, 3747, 4011, 4023, 4147, 4260, 4527, 5473, 97, 152, 423, 5641, 586, 685, 1311, 158, 5589, 861, 901, 1022, 1569, 1746, 1859, 2041, 2241, 2244, 2300, 2443, 3327, 3363, 5837, 3400, 3647, 3727, 3740, 5877, 3924, 4014, 4053, 4134, 5861, 4716, 5130, 5494, 5535, 1795, 2365, 1192, 1732, 1751, 2123, 3049, 3247, 4138, 5692, 3006, 3785, 4437, 4457, 4503, 5517, 93, 453, 859, 5453, 892, 2905, 1084, 1476, 1514, 1656, 1721, 1839, 1866, 1882, 2394, 2398, 2406, 2796, 2884, 2885, 2985, 3238, 3376, 3424, 4075, 5865, 4410, 4439, 5381, 2980, 2215, 2370, 1151, 1261, 99, 1001, 1802, 359, 3791, 3976, 2231, 5031, 1155, 4625, 1823, 856, 449, 1966, 4799, 5004, 5343, 3090, 2941, 3469, 922, 2336, 2823, 4108, 3514, 3515, 3778, 5859, 5445, 3821, 1322, 671, 1497, 2623, 1868, 4611, 2666, 4762, 3310, 860, 3984, 3257, 3200, 3211, 5041, 4977, 666, 2088, 2124, 3143, 3484, 3498, 3646, 3722, 2883, 186, 5652, 568, 622, 639, 1594, 2153, 2166, 2481, 2507, 3113, 4546, 4784, 4991, 27, 4371, 4390, 4400, 5513, 1048, 2726, 5821, 3351, 3519, 3906, 4498, 1727, 2530, 4860, 3335, 4055, 4423, 2966, 2330, 2302, 5026, 798, 3315, 1158, 3225, 5624, 2946, 2032, 4280, 4672, 4616, 5179, 5541, 4413, 5681, 4414, 4020, 973, 2227, 3368, 5171, 1111, 1562, 1612, 1768, 3877, 4207, 5505, 628, 5836, 2501, 1463, 4005, 148, 533, 1028, 1332, 1822, 2122, 3130, 3158, 3459, 3790, 5444, 5749, 972, 1488, 2490, 5261, 117, 194, 1171, 2352, 2999, 3361, 3487, 4018, 4123, 4881, 444, 705, 868, 1482, 1522, 1531, 1608, 3392, 3426, 3489, 4095, 5237, 4666, 1394, 5046, 3685, 5047, 5457, 4750, 4890, 5152, 4819, 5299, 2730, 5294, 5295, 556, 3830, 4332, 1797, 4318, 4899, 5422, 5831, 4059, 3901, 3134, 3448, 4405, 1669, 228, 3005, 3120, 3280, 3427, 3471, 3684, 4054, 4104, 5813, 5522, 3061, 1583, 1176, 133, 481, 2878, 2585, 2972, 2816, 3026, 2154, 2833, 3251, 4956, 2586, 3856, 3332, 4341, 2408, 4187, 4325, 3129, 354, 3014, 704, 4870, 2802, 4895, 5023, 750, 2502, 1439, 4168, 1600, 3167, 4790, 2544, 2793, 2263, 1622, 1992, 2230, 2538, 2014, 5630, 4615, 1566, 5209, 3593, 4603, 834, 5686, 2204, 2535, 2758, 4482, 2356, 2921, 3825, 881, 1289, 3092, 477, 865, 4340, 1429, 5008, 3899, 510, 1168, 1285, 1981, 2157, 2196, 4154, 5454, 1706, 2608, 3608, 149, 5690, 1705, 5744, 3752, 4581, 5208, 1108, 5694, 694, 695, 1875, 1969, 4197, 4344, 5207, 2596, 3154, 3553, 3563, 5373, 2811, 2901, 204, 579, 439, 4857, 5249, 1934, 5146, 572, 1520, 3565, 4182, 2223, 1971, 604, 1687, 4239, 119, 2125, 348, 4814, 2647, 2859, 2000, 4155, 4812, 5215, 76, 677, 5124, 251, 3344, 3783, 1069, 1362, 1560, 1818, 5733, 2371, 2396, 2723, 2761, 2987, 3004, 3164, 2142, 403, 3621, 2144, 2145, 3775, 3523, 4218, 4555, 932, 1662, 2046, 2746, 5544, 2928, 838, 1950, 2990, 3399, 4164, 4673, 4810, 5531, 1716, 2902, 4244, 86, 5735, 3383, 3734, 3774, 3998, 48, 679, 5754, 1161, 1162, 1539, 1796, 2705, 3178, 3698, 3923, 4153, 4196, 4952, 4986, 5266, 134, 288, 289, 1947, 876, 941, 981, 1102, 1347, 1694, 1935, 1939, 1940, 1952, 2361, 2416, 2506, 2579, 2581, 3071, 3221, 3338, 3366, 3458, 5840, 3521, 3582, 5851, 3697, 4158, 4169, 4183, 4302, 4664, 4889, 5105, 5156, 5223, 5511, 5614, 414, 4578, 744, 3308, 884, 3407, 4277, 5504, 820, 3577, 5305, 4580, 1782, 1783, 2731, 4658, 4727, 2433, 5170, 5715, 3210, 30, 4712, 2854, 3624, 5030, 905, 366, 700, 2562, 1784, 4731, 5502, 487, 1237, 2102, 4539, 4299, 525, 5629, 5086, 5187, 5214, 994, 4476, 5765, 5540, 5154, 2193, 35, 338, 755, 1037, 1350, 2030, 3413, 4713, 5280, 2747, 1180, 1728, 4362, 5487, 5446, 43, 684, 840, 1122, 1645, 4547, 5297, 4757, 3223, 1688, 1931, 11, 4847, 668, 268, 3973, 1116, 3042, 3538, 3539, 4533, 1133, 2825, 2797, 5726, 2851, 3050, 3601, 4901, 54, 874, 2104, 2557, 2817, 5136, 19, 5533, 166, 1382, 1378, 1379, 5809, 1415, 618, 5700, 2868, 42, 3794, 1353, 52, 1836, 5100, 5141, 57, 5174, 4916, 1205, 4381, 2210, 407, 4178, 3955, 5276, 508, 5277, 5075, 4087, 4411, 3600, 5415, 1536, 1014, 3876, 2997, 2835, 4375, 4529, 567, 3345, 4313, 447, 352, 817, 4252, 4357, 4431, 4634, 5317, 5485, 5667, 82, 4348, 2511, 2812, 2814, 2235, 2599, 3690, 3340, 5883, 2899, 2236, 75, 1324, 1915, 5729, 2238, 2400, 5065, 3837, 3921, 64, 1049, 5688, 2638, 2803, 3232, 3544, 4851, 5037, 5067, 5220, 5360, 5052, 2973, 2410, 3155, 1235, 2672, 4964, 3972, 2373, 3555, 5396, 1099, 2877, 3542, 5128, 3208, 2366, 3209, 5590, 5467, 5246, 790, 1452, 1951, 2098, 3184, 3136, 223, 3531, 3532, 4905, 3827, 5239, 5242, 2413, 415, 640, 2368, 2688, 2015, 4384, 3239, 3797, 3174, 5364, 2037, 5379, 4652, 5835, 1234, 4536, 1020, 1603, 1857, 2344, 4646, 59, 89, 1689, 4240, 752, 1199, 1410, 2521, 2745, 4653, 3115, 5819, 5598, 5298, 5438, 3926, 160, 3798, 5425, 969, 3453, 5160, 2083, 3496, 3537, 4062, 5147, 5168, 3067, 2682, 1114, 1570, 1127, 1253, 2719, 3989, 4647, 5539, 128, 5768, 53, 162, 578, 764, 785, 1423, 2026, 2708, 3844, 3948, 4471, 5000, 2712, 1005, 1672, 1983, 2149, 3148, 1172, 2372, 3375, 4454, 4633, 5523, 5332, 2113, 1169, 528, 4036, 2432, 3249, 1066, 1126, 3300, 5499, 5035, 23, 4295, 7, 2492, 464, 1317, 1964, 2025, 3047, 3606, 4106, 4133, 4559, 4584, 5463, 1044, 2944, 3018, 2992, 322, 742, 3039, 3776, 1012, 4972, 1059, 4743, 1506, 2105, 1650, 2769, 1013, 515, 949, 1960, 3140, 3812, 4829, 4830, 478, 880, 2809, 3815, 4997, 4998, 5148, 5437, 1343, 5331, 3679, 5734, 1605, 2333, 2324, 3423, 3796, 4274, 1556, 3654, 2497, 5353, 1477, 5805, 888, 2935, 198, 1325, 1339, 1498, 1712, 1762, 3562, 4093, 4321, 5616, 4805, 4950, 2460, 4485, 5775, 4669, 264, 2146, 5495, 4613, 5051, 4897, 2555, 205, 3773, 1955, 836, 2500, 3639, 3993, 653, 1771, 3588, 3101, 3292, 188, 1279, 3589, 1888, 293, 997, 873, 2922, 280, 313, 1997, 3086, 4328, 5009, 5060, 2583, 33, 345, 655, 1029, 5705, 1815, 5741, 2464, 2465, 2662, 2804, 3085, 3177, 1959, 3920, 5893, 1686, 2028, 3505, 5648, 4167, 1972, 4105, 2887, 451, 1121, 1179, 4871, 523, 2597, 3867, 107, 3021, 5227, 3013, 1740, 5704, 1364, 1470, 1664, 2911, 3782, 4151, 4217, 5418, 1153, 1436, 1525, 2568, 5468, 5895, 5896, 5897, 2449, 12, 163, 5763, 650, 753, 1000, 1166, 1408, 2476, 2665, 2898, 2914, 4111, 4120, 5015, 5534, 2186, 4264, 5898, 4776, 5771, 4677]]"
1,"[[87, 3940, 1120, 2174]]"
2,"[[102, 126, 104]]"
3,"[[154, 1075]]"
4,"[[175, 4561]]"
5,"[[219, 5334]]"
6,"[[344, 4944]]"
7,"[[378, 1034]]"
8,"[[435, 436, 2834, 3831]]"
9,"[[473, 5010]]"
10,"[[482, 1829]]"
11,"[[560, 3885, 3914]]"
12,"[[649, 4801]]"
13,"[[660, 4520, 1416]]"
14,"[[762, 3913]]"
15,"[[819, 3666]]"
16,"[[931, 3313]]"
17,"[[953, 4203]]"
18,"[[1124, 3180]]"
19,"[[1190, 2582]]"
20,"[[1260, 5639]]"
21,"[[1442, 4386]]"
22,"[[1448, 4443]]"
23,"[[1489, 5793]]"
24,"[[1547, 3116]]"
25,"[[1611, 5196]]"
26,"[[1640, 4787]]"
27,"[[1849, 2867]]"
28,"[[1858, 3629, 4165]]"
29,"[[2135, 4818, 5218, 2136]]"
30,"[[2207, 4754]]"
31,"[[2224, 2225]]"
32,"[[2472, 4516, 3215]]"
33,"[[2618, 3717]]"
34,"[[2681, 5675, 5852, 5676]]"
35,"[[2808, 4496]]"
36,"[[3256, 3860]]"
37,"[[3575, 5868]]"
38,"[[3952, 5143]]"
39,"[[4130, 4370]]"
40,"[[4229, 4308]]"
41,"[[4608, 5355]]"
42,"[[5631, 5767]]"
